,all_hits,description,hit_num,name,species
115,TcB_expanded TcdA1_expanded TcC_expanded,"JAAHHH010002363.1 Moorea sp. SIO3C2 3C2_NODE_2363, whole genome shotgun sequence",3.0,JAAHHH010002363.1,Moorea sp.
116,TcB_expanded TcB_expanded TcdA1_expanded TcdA1_expanded TcdA1_expanded TcC_expanded TcC_expanded,"JAAHIG010000776.1 Moorea sp. SIO4G3 4G3_NODE_776, whole genome shotgun sequence",7.0,JAAHIG010000776.1,Moorea sp.
117,TcB_expanded TcB_expanded Chitinase_expanded TcdA1_expanded TcC_expanded TcC_expanded,"NZ_SMKT01000421.1 Actinomadura sp. KC06 NODE_655_length_400_cov_9.09524, whole genome shotgun sequence",6.0,NZ_SMKT01000421.1,Actinomadura sp.
118,A2_expanded TcB_expanded TcC_expanded,"JAABOU010001898.1 Actinomadura sp. DSM 109109 NODE_1998_length_202_cov_42.884498, whole genome shotgun sequence",3.0,JAABOU010001898.1,Actinomadura sp.
119,A2_expanded A2_expanded TcB_expanded TcB_expanded TcB_expanded Chitinase_expanded TcC_expanded TcC_expanded,"NZ_VCKW01000623.1 Actinomadura sp. 14C53 NODE_774_length_377_cov_5.588, whole genome shotgun sequence",8.0,NZ_VCKW01000623.1,Actinomadura sp.
120,A2_expanded TcB_expanded Chitinase_expanded TcC_expanded,"NZ_SMKU01000805.1 Actinomadura sp. H3C3 NODE_957_length_303_cov_5122.66, whole genome shotgun sequence",4.0,NZ_SMKU01000805.1,Actinomadura sp.
121,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_SMKK01000563.1 Actinomadura sp. 7K507 NODE_624_length_315_cov_13.984, whole genome shotgun sequence",3.0,NZ_SMKK01000563.1,Actinomadura sp.
122,TcB_expanded TcdA1_expanded TcC_expanded TcC_expanded,"NZ_QAIL01000624.1 Pedobacter sp. HMWF019 NODE_895_length_1478_cov_7.076455, whole genome shotgun sequence",4.0,NZ_QAIL01000624.1,Pedobacter sp.
123,A2_expanded TcB_expanded Chitinase_expanded TcC_expanded,NZ_LS999839.1 Pedobacter sp. eg chromosome contig00001,4.0,NZ_LS999839.1,Pedobacter sp.
124,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_SJSL01000015.1 Pedobacter sp. RP-1-14 contig15, whole genome shotgun sequence",3.0,NZ_SJSL01000015.1,Pedobacter sp.
125,TcB_expanded TcB_expanded TcdA1_expanded TcdA1_expanded TcC_expanded TcC_expanded,"NZ_SOAB01000040.1 Pedobacter sp. OK701 Ga0189738_140, whole genome shotgun sequence",6.0,NZ_SOAB01000040.1,Pedobacter sp.
126,TcB_expanded TcdA1_expanded TcC_expanded,"MNDS01000223.1 Ktedonobacter sp. 13_2_20CM_2_56_8 13_2_20cm_2_scaffold_1706, whole genome shotgun sequence",3.0,MNDS01000223.1,Ktedonobacter sp.
127,TcB_expanded TcdA1_expanded TcC_expanded,"MNDA01000671.1 Ktedonobacter sp. 13_2_20CM_53_11 13_2_20cm_scaffold_599, whole genome shotgun sequence",3.0,MNDA01000671.1,Ktedonobacter sp.
128,A2_expanded TcB_expanded TcC_expanded,"MNJJ01000259.1 Ktedonobacter sp. 13_1_20CM_3_54_15 13_1_20cm_3_scaffold_3355, whole genome shotgun sequence",3.0,MNJJ01000259.1,Ktedonobacter sp.
129,A1_expanded A1_expanded A1_expanded A2_expanded A2_expanded A2_expanded A2_expanded A2_expanded TcB_expanded TcB_expanded TcB_expanded Chitinase_expanded Chitinase_expanded TcdA1_expanded TcdA1_expanded TcdA1_expanded TcdA1_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_NSCD01000185.1 Photorhabdus sp. S7-51 S7_51_scf0185, whole genome shotgun sequence",24.0,NZ_NSCD01000185.1,Photorhabdus sp.
130,A1_expanded A1_expanded A1_expanded A1_expanded A2_expanded A2_expanded A2_expanded A2_expanded TcB_expanded TcB_expanded TcB_expanded TcB_expanded TcB_expanded Chitinase_expanded Chitinase_expanded Chitinase_expanded Chitinase_expanded TcdA1_expanded TcdA1_expanded TcdA1_expanded TcdA1_expanded TcdA1_expanded TcdA1_expanded TcdA1_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_NMQR01000210.1 Photorhabdus sp. CRCIA-P01 scaffold210.1, whole genome shotgun sequence",32.0,NZ_NMQR01000210.1,Photorhabdus sp.
131,A1_expanded A1_expanded A1_expanded A2_expanded A2_expanded A2_expanded A2_expanded A2_expanded A2_expanded A2_expanded A2_expanded A2_expanded TcB_expanded TcB_expanded TcB_expanded Chitinase_expanded Chitinase_expanded Chitinase_expanded TcdA1_expanded TcdA1_expanded TcdA1_expanded TcdA1_expanded TcdA1_expanded TcdA1_expanded TcdA1_expanded TcdA1_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_NSCE01000184.1 Photorhabdus sp. S14-60 S14_60_scf0184, whole genome shotgun sequence",33.0,NZ_NSCE01000184.1,Photorhabdus sp.
132,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_VITD01000034.1 Micromonospora sp. CNZ322 Ga0193659_134, whole genome shotgun sequence",3.0,NZ_VITD01000034.1,Micromonospora sp.
133,A2_expanded TcB_expanded TcC_expanded,"NZ_KQ058904.1 Micromonospora sp. HK10 Scaffold261, whole genome shotgun sequence",3.0,NZ_KQ058904.1,Micromonospora sp.
134,A1_expanded A1_expanded A1_expanded A2_expanded A2_expanded A2_expanded TcB_expanded TcB_expanded TcB_expanded Chitinase_expanded Chitinase_expanded TcdA1_expanded TcdA1_expanded TcdA1_expanded TcdA1_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NC_005126.1 Photorhabdus laumondii subsp. laumondii TTO1, complete sequence",22.0,NC_005126.1,Photorhabdus laumondii
135,A1_expanded A1_expanded A1_expanded A2_expanded A2_expanded A2_expanded A2_expanded A2_expanded TcB_expanded TcB_expanded TcB_expanded Chitinase_expanded Chitinase_expanded TcdA1_expanded TcdA1_expanded TcdA1_expanded TcdA1_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_CP024901.1 Photorhabdus laumondii subsp. laumondii strain TT01 chromosome, complete genome",24.0,NZ_CP024901.1,Photorhabdus laumondii
136,A2_expanded TcB_expanded TcC_expanded,"NZ_KN173624.1 Arsenophonus endosymbiont str. Hangzhou of Nilaparvata lugens strain Hangzhou scaffold_M, whole genome shotgun sequence",3.0,NZ_KN173624.1,Arsenophonus endosymbiont
137,A2_expanded A2_expanded A2_expanded TcB_expanded TcB_expanded TcB_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_OUND01000011.1 Arsenophonus endosymbiont of Aleurodicus floccissimus strain ARAF, whole genome shotgun sequence",11.0,NZ_OUND01000011.1,Arsenophonus endosymbiont
138,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_JFJW01000247.1 Cupriavidus sp. SK-4 Scaffold247, whole genome shotgun sequence",3.0,NZ_JFJW01000247.1,Cupriavidus sp.
139,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_KB944506.1 Cupriavidus sp. GA3-3 scaffold9, whole genome shotgun sequence",3.0,NZ_KB944506.1,Cupriavidus sp.
140,TcB_expanded TcdA1_expanded TcC_expanded,"RHGL01000187.1 Leptolyngbya sp. IPPAS B-1204 Mongol_rep_c3761, whole genome shotgun sequence",3.0,RHGL01000187.1,Leptolyngbya sp.
141,A2_expanded TcB_expanded TcB_expanded TcdA1_expanded TcC_expanded TcC_expanded,"JAAHFU010000658.1 Leptolyngbya sp. SIO1E4 1E4_NODE_658, whole genome shotgun sequence",6.0,JAAHFU010000658.1,Leptolyngbya sp.
142,TcB_expanded Chitinase_expanded TcdA1_expanded TcC_expanded,"NZ_RAVY01000454.1 Corallococcus sp. CA054B NODE_463_216_cov_13.0562_ID_10110, whole genome shotgun sequence",4.0,NZ_RAVY01000454.1,Corallococcus sp.
143,TcB_expanded Chitinase_expanded TcdA1_expanded TcC_expanded,"NZ_RAVX01000101.1 Corallococcus sp. AB011P NODE_101_234_cov_64.2804, whole genome shotgun sequence",4.0,NZ_RAVX01000101.1,Corallococcus sp.
144,A2_expanded TcB_expanded TcC_expanded,"NZ_MKMC01000100.1 Methylomonas sp. LWB scaffold9_size193256, whole genome shotgun sequence",3.0,NZ_MKMC01000100.1,Methylomonas sp.
145,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_KI911557.1 Methylomonas sp. 11b scaffold1, whole genome shotgun sequence",3.0,NZ_KI911557.1,Methylomonas sp.
146,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_FOSU01000047.1 Porphyromonadaceae bacterium KH3CP3RA, whole genome shotgun sequence",3.0,NZ_FOSU01000047.1,Porphyromonadaceae bacterium
147,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_FOZR01000085.1 Porphyromonadaceae bacterium NLAE-zl-C104, whole genome shotgun sequence",3.0,NZ_FOZR01000085.1,Porphyromonadaceae bacterium
148,TcB_expanded TcB_expanded TcdA1_expanded TcdA1_expanded TcdA1_expanded TcC_expanded TcC_expanded,"NZ_FUYT01000034.1 Luteibacter sp. 22Crub2.1, whole genome shotgun sequence",7.0,NZ_FUYT01000034.1,Luteibacter sp.
149,TcB_expanded TcdA1_expanded TcdA1_expanded TcdA1_expanded TcC_expanded,"NZ_JUHO01000001.1 Luteibacter sp. 9133 FA87DRAFT_unitig_0_quiver.1_C, whole genome shotgun sequence",5.0,NZ_JUHO01000001.1,Luteibacter sp.
150,TcB_expanded TcdA1_expanded TcC_expanded TcC_expanded,"NC_017447.1 Erwinia sp. Ejp617 plasmid pJE04, complete sequence",4.0,NC_017447.1,Erwinia sp.
151,TcB_expanded TcdA1_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_CDPK01000072.1 Erwinia sp. ErVv1, whole genome shotgun sequence",5.0,NZ_CDPK01000072.1,Erwinia sp.
152,A2_expanded TcB_expanded TcC_expanded TcC_expanded,"NZ_BAOS01000047.1 Candidatus Scalindua japonica strain husup-a2, whole genome shotgun sequence",4.0,NZ_BAOS01000047.1,Candidatus Scalindua
153,TcB_expanded TcdA1_expanded TcC_expanded,"QQTZ01000066.1 Candidatus Scalindua sp. isolate amx 3135, whole genome shotgun sequence",3.0,QQTZ01000066.1,Candidatus Scalindua
154,A1_expanded A2_expanded TcB_expanded Chitinase_expanded TcC_expanded TcC_expanded,"NZ_QSNX01000060.1 Rahnella sp. RcJ3 Scaffold60, whole genome shotgun sequence",6.0,NZ_QSNX01000060.1,Rahnella sp.
155,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded,"NZ_QLTF01000036.1 Rahnella sp. NFIX50 Ga0059074_136, whole genome shotgun sequence",5.0,NZ_QLTF01000036.1,Rahnella sp.
156,A2_expanded TcB_expanded TcB_expanded TcdA1_expanded TcdA1_expanded TcC_expanded TcC_expanded,"JAAHGQ010001185.1 Symploca sp. SIO2D2 2D2_NODE_1185, whole genome shotgun sequence",7.0,JAAHGQ010001185.1,Symploca sp.
157,A2_expanded TcB_expanded TcC_expanded,"JAAHFO010001461.1 Symploca sp. SIO1B1 1B1_NODE_1461, whole genome shotgun sequence",3.0,JAAHFO010001461.1,Symploca sp.
158,A1_expanded A2_expanded TcB_expanded TcC_expanded,"NZ_CABPSP010000048.1 Pandoraea sp. LMG 31117, whole genome shotgun sequence",4.0,NZ_CABPSP010000048.1,Pandoraea sp.
159,A1_expanded A2_expanded TcB_expanded TcC_expanded,"CABPSQ010000036.1 Pandoraea sp. LMG 31118 genome assembly, contig: 36, whole genome shotgun sequence",4.0,CABPSQ010000036.1,Pandoraea sp.
160,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_WRXN01000057.1 Chitinophaga sp. ysch24 NODE_80_length_509_cov_50.547120, whole genome shotgun sequence",3.0,NZ_WRXN01000057.1,Chitinophaga sp.
161,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded,"NZ_CP009451.1 Cedecea neteri strain SSMD04 chromosome, complete genome",5.0,NZ_CP009451.1,Cedecea neteri
162,TcB_expanded Chitinase_expanded TcdA1_expanded TcC_expanded,"NC_015513.1 Haliscomenobacter hydrossis DSM 1100 plasmid pHALHY03, complete sequence",4.0,NC_015513.1,Haliscomenobacter hydrossis
163,TcB_expanded TcdA1_expanded TcC_expanded,"NC_013216.1 Desulfofarcimen acetoxidans DSM 771, complete sequence",3.0,NC_013216.1,Desulfofarcimen acetoxidans
164,TcB_expanded TcdA1_expanded TcC_expanded,"NC_022663.1 Mycobacterium kansasii ATCC 12478, complete genome",3.0,NC_022663.1,Mycobacterium kansasii
165,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_CP004078.1 Paenibacillus sabinae T27 chromosome, complete genome",3.0,NZ_CP004078.1,Paenibacillus sabinae
166,A1_expanded A2_expanded TcB_expanded TcC_expanded,"NZ_CP011809.2 Pandoraea faecigallinarum strain DSM 23572 plasmid pPF72-2, complete sequence",4.0,NZ_CP011809.2,Pandoraea faecigallinarum
167,TcB_expanded Chitinase_expanded Chitinase_expanded TcdA1_expanded TcC_expanded,"NZ_MQWC01000010.1 Salinibacter sp. 10B scaffold11_cov328_read174, whole genome shotgun sequence",5.0,NZ_MQWC01000010.1,Salinibacter sp.
168,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_BIFQ01000002.1 Dictyobacter aurantiacus strain S27 sequence2, whole genome shotgun sequence",3.0,NZ_BIFQ01000002.1,Dictyobacter aurantiacus
169,TcB_expanded TcB_expanded TcdA1_expanded TcdA1_expanded TcC_expanded TcC_expanded,"NZ_SSMR01000050.1 Polyangium sp. SDU3-1 Scaffold50_1, whole genome shotgun sequence",6.0,NZ_SSMR01000050.1,Polyangium sp.
170,A2_expanded TcB_expanded TcB_expanded TcdA1_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,NZ_CP041186.1 Bradymonas sp. YN101 chromosome,9.0,NZ_CP041186.1,Bradymonas sp.
171,A1_expanded A2_expanded TcB_expanded Chitinase_expanded Chitinase_expanded TcC_expanded,"NZ_NJAK01000005.1 Xenorhabdus ishibashii strain DSM 22670 Xish_5, whole genome shotgun sequence",6.0,NZ_NJAK01000005.1,Xenorhabdus ishibashii
172,TcB_expanded TcB_expanded TcdA1_expanded TcC_expanded TcC_expanded,"NZ_FPBP01000034.1 Halomonas korlensis strain CGMCC 1.6981, whole genome shotgun sequence",5.0,NZ_FPBP01000034.1,Halomonas korlensis
173,A1_expanded A2_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_BBMZ01000055.1 Pseudescherichia vulneris NBRC 102420, whole genome shotgun sequence",7.0,NZ_BBMZ01000055.1,Pseudescherichia vulneris
174,TcB_expanded Chitinase_expanded TcdA1_expanded TcC_expanded,"NZ_KI632511.1 Actinospica robiniae DSM 44927 ActroDRAFT_ARA.1, whole genome shotgun sequence",4.0,NZ_KI632511.1,Actinospica robiniae
175,A2_expanded TcB_expanded TcC_expanded,"NZ_CP024793.1 Nostoc flagelliforme CCNUN1 plasmid pNFSY08, complete sequence",3.0,NZ_CP024793.1,Nostoc flagelliforme
176,A1_expanded A1_expanded A2_expanded A2_expanded TcB_expanded TcB_expanded Chitinase_expanded Chitinase_expanded Chitinase_expanded TcdA1_expanded TcdA1_expanded TcdA1_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_AYSJ01000017.1 Photorhabdus khanii NC19 PTE_gnl_UNH_Scaf_17.17, whole genome shotgun sequence",18.0,NZ_AYSJ01000017.1,Photorhabdus khanii
177,A2_expanded TcB_expanded TcC_expanded,"NZ_SAXA01000055.1 Ancylomarina sp. SHSM-M15, whole genome shotgun sequence",3.0,NZ_SAXA01000055.1,Ancylomarina sp.
178,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_CP041692.1 Microlunatus sp. KUDC0627 chromosome, complete genome",3.0,NZ_CP041692.1,Microlunatus sp.
179,A2_expanded TcB_expanded TcC_expanded,"NC_008271.1 Rhodococcus jostii RHA1 plasmid pRHL3, complete sequence",3.0,NC_008271.1,Rhodococcus jostii
180,A2_expanded TcB_expanded Chitinase_expanded TcC_expanded,"NZ_VCNA01000026.1 Brevibacillus sp. CHY01 Scaffold26, whole genome shotgun sequence",4.0,NZ_VCNA01000026.1,Brevibacillus sp.
181,TcB_expanded TcdA1_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_NBVR01000044.1 Proteus alimentorum strain 08MAS0041 scaffold31, whole genome shotgun sequence",9.0,NZ_NBVR01000044.1,Proteus alimentorum
182,TcB_expanded Chitinase_expanded Chitinase_expanded TcdA1_expanded TcC_expanded,"NZ_QVIG01000004.1 Kitasatospora xanthocidica strain MMS17-GH009 DR950_4_1, whole genome shotgun sequence",5.0,NZ_QVIG01000004.1,Kitasatospora xanthocidica
183,TcB_expanded Chitinase_expanded Chitinase_expanded TcdA1_expanded TcC_expanded,"NZ_BILZ01000167.1 Paenibacillus kobensis NBRC 15729 PKO01S_CON000167, whole genome shotgun sequence",5.0,NZ_BILZ01000167.1,Paenibacillus kobensis
184,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_FONE01000126.1 Nitrosomonas sp. Nm166, whole genome shotgun sequence",3.0,NZ_FONE01000126.1,Nitrosomonas sp.
185,TcB_expanded TcdA1_expanded TcC_expanded TcC_expanded,"NZ_UGTQ01000009.1 Proteus penneri strain NCTC12737, whole genome shotgun sequence",4.0,NZ_UGTQ01000009.1,Proteus penneri
186,A1_expanded A1_expanded A2_expanded A2_expanded TcB_expanded TcB_expanded TcB_expanded Chitinase_expanded Chitinase_expanded TcdA1_expanded TcdA1_expanded TcdA1_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_LN681228.1 Xenorhabdus nematophila AN6/1 genome assembly XNC2, plasmid : II",15.0,NZ_LN681228.1,Xenorhabdus nematophila
187,TcB_expanded TcdA1_expanded,"NZ_FOLC01000061.1 Collimonas sp. OK412, whole genome shotgun sequence",2.0,NZ_FOLC01000061.1,Collimonas sp.
188,TcB_expanded TcdA1_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_SJOP01000106.1 Kosakonia sp. WCHEs120001 strain WCHKQ120001, whole genome shotgun sequence",20.0,NZ_SJOP01000106.1,Kosakonia sp.
189,A2_expanded TcB_expanded Chitinase_expanded Chitinase_expanded TcC_expanded,"NZ_KL647038.1 Nonomuraea candida strain NRRL B-24552 Doro1_scaffold122, whole genome shotgun sequence",5.0,NZ_KL647038.1,Nonomuraea candida
190,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_FQUS01000064.1 Aliifodinibius roseus strain DSM 21986, whole genome shotgun sequence",3.0,NZ_FQUS01000064.1,Aliifodinibius roseus
191,A1_expanded A1_expanded A2_expanded A2_expanded TcB_expanded TcB_expanded TcC_expanded TcC_expanded,"NC_015379.1 Pseudomonas brassicacearum subsp. brassicacearum NFM421, complete sequence",8.0,NC_015379.1,Pseudomonas brassicacearum
192,TcB_expanded Chitinase_expanded TcdA1_expanded TcC_expanded,"NZ_FUXU01000241.1 Enterovibrio nigricans DSM 22720, whole genome shotgun sequence",4.0,NZ_FUXU01000241.1,Enterovibrio nigricans
193,A1_expanded A2_expanded TcB_expanded TcC_expanded,"NZ_LT629762.1 Pseudomonas prosekii strain LMG 26867 genome assembly, chromosome: I",4.0,NZ_LT629762.1,Pseudomonas prosekii
194,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_SMSC01000216.1 Candidatus Thiosymbion oneisti isolate CBC2018, whole genome shotgun sequence",3.0,NZ_SMSC01000216.1,Candidatus Thiosymbion
195,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_AYLO01000184.1 Methyloglobulus morosus KoM1 MGMO_435c, whole genome shotgun sequence",3.0,NZ_AYLO01000184.1,Methyloglobulus morosus
196,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_KB905728.1 Proteiniphilum acetatigenes DSM 18083 F597DRAFT_scaffold00037.37, whole genome shotgun sequence",3.0,NZ_KB905728.1,Proteiniphilum acetatigenes
197,TcB_expanded TcdA1_expanded TcC_expanded,"NZNV01000041.1 Owenweeksia sp. isolate EAC74 16509, whole genome shotgun sequence",3.0,NZNV01000041.1,Owenweeksia sp.
198,A2_expanded TcB_expanded TcC_expanded,"NZ_NVPT01000374.1 Geodermatophilus chilensis strain B12 NODE_379, whole genome shotgun sequence",3.0,NZ_NVPT01000374.1,Geodermatophilus chilensis
199,TcB_expanded Chitinase_expanded TcdA1_expanded TcC_expanded,"NZ_KN266223.1 Cellvibrio mixtus subsp. mixtus J3-8 Scaffold31, whole genome shotgun sequence",4.0,NZ_KN266223.1,Cellvibrio mixtus
200,A2_expanded A2_expanded A2_expanded TcB_expanded TcB_expanded TcdA1_expanded TcdA1_expanded TcdA1_expanded,"NZ_CBLI010000886.1 Yersinia wautersii strain WP-931205, whole genome shotgun sequence",8.0,NZ_CBLI010000886.1,Yersinia wautersii
201,A2_expanded TcB_expanded TcC_expanded,"NZ_QAOO01000085.1 Nitrosomonas nitrosa strain Nm90 Ga0181054_185, whole genome shotgun sequence",3.0,NZ_QAOO01000085.1,Nitrosomonas nitrosa
202,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_SMKX01000348.1 Kribbella antibiotica strain JCM 13523 NODE_406_length_322_cov_12.5991, whole genome shotgun sequence",3.0,NZ_SMKX01000348.1,Kribbella antibiotica
203,A1_expanded A2_expanded TcdA1_expanded TcC_expanded,"NZ_LT855380.1 Pseudomonas viridiflava strain CFBP 1590 genome assembly, chromosome: I",4.0,NZ_LT855380.1,Pseudomonas viridiflava
204,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_RQJP01000018.1 Larkinella knui strain KCTC42998 NODE_22_length_1163_cov_85.296332, whole genome shotgun sequence",3.0,NZ_RQJP01000018.1,Larkinella knui
205,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_JNYY01000082.1 Amycolatopsis vancoresmycina strain NRRL B-24208 contig82.1, whole genome shotgun sequence",3.0,NZ_JNYY01000082.1,Amycolatopsis vancoresmycina
206,A2_expanded TcB_expanded TcC_expanded,"NZ_CZQA01000015.1 Candidatus Nitrospira nitrosa isolate COMA1, whole genome shotgun sequence",3.0,NZ_CZQA01000015.1,Candidatus Nitrospira
207,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_BBCC01000558.1 Desulfosarcina cetonica JCM 12296, whole genome shotgun sequence",3.0,NZ_BBCC01000558.1,Desulfosarcina cetonica
208,TcB_expanded TcB_expanded TcdA1_expanded TcC_expanded TcC_expanded,"QHVH01000106.1 Blastocatellia bacterium AA13 isolate gp4 AA13 14_0929_09_20cm_scaffold_43844_curated, whole genome shotgun sequence",5.0,QHVH01000106.1,Blastocatellia bacterium
209,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_OAOQ01000062.1 Rhodobacter ovatus strain JA234, whole genome shotgun sequence",3.0,NZ_OAOQ01000062.1,Rhodobacter ovatus
210,A2_expanded TcB_expanded TcC_expanded,"MUGG01000223.1 Alkalinema sp. CACIAM 70d contig00121_-_Alkalinema_pantanalense_CENA531, whole genome shotgun sequence",3.0,MUGG01000223.1,Alkalinema sp.
211,A2_expanded TcB_expanded TcC_expanded,"NZ_CP014226.1 Halomonas chromatireducens strain AGD 8-3 chromosome, complete genome",3.0,NZ_CP014226.1,Halomonas chromatireducens
212,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_RZUM01000202.1 Gordonia sp. AMA120 NODE_402_length_250_cov_0.0860927, whole genome shotgun sequence",3.0,NZ_RZUM01000202.1,Gordonia sp.
213,A2_expanded TcB_expanded TcC_expanded,"NZ_NHML01000109.1 Rhodococcus sp. NCIMB 12038 minimus2_contig_3, whole genome shotgun sequence",3.0,NZ_NHML01000109.1,Rhodococcus sp.
214,A2_expanded TcB_expanded TcC_expanded,"NZ_VCSG01000349.1 Thauera sp. UPWRP 500, whole genome shotgun sequence",3.0,NZ_VCSG01000349.1,Thauera sp.
215,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_AFWT01000141.1 Thiorhodococcus drewsii AZ1 ctg63, whole genome shotgun sequence",3.0,NZ_AFWT01000141.1,Thiorhodococcus drewsii
216,A2_expanded TcB_expanded TcC_expanded,"NC_010830.1 Candidatus Amoebophilus asiaticus 5a2, complete genome",3.0,NC_010830.1,Candidatus Amoebophilus
217,A1_expanded A2_expanded TcB_expanded TcB_expanded Chitinase_expanded Chitinase_expanded TcdA1_expanded TcC_expanded TcC_expanded,"NC_013892.1 Xenorhabdus bovienii SS-2004, complete sequence",9.0,NC_013892.1,Xenorhabdus bovienii
218,A2_expanded A2_expanded TcB_expanded TcC_expanded,"NZ_QUMQ01000001.1 Asanoa ferruginea strain DSM 44099 Ga0197490_11, whole genome shotgun sequence",4.0,NZ_QUMQ01000001.1,Asanoa ferruginea
219,A1_expanded A2_expanded TcB_expanded TcC_expanded,"NZ_FNTY01000002.1 Pseudomonas migulae strain LMG 21608, whole genome shotgun sequence",4.0,NZ_FNTY01000002.1,Pseudomonas migulae
220,TcB_expanded TcB_expanded TcdA1_expanded TcdA1_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_SSMQ01000201.1 Polyangium fumosum strain DSM 14668 Scaffold200_1, whole genome shotgun sequence",9.0,NZ_SSMQ01000201.1,Polyangium fumosum
221,A1_expanded A2_expanded TcB_expanded TcC_expanded,"NZ_JYLF01000032.1 Pseudomonas weihenstephanensis strain DSM 29166 36_634_33.8067, whole genome shotgun sequence",4.0,NZ_JYLF01000032.1,Pseudomonas weihenstephanensis
222,TcB_expanded Chitinase_expanded TcdA1_expanded TcC_expanded,"NZ_CP029843.1 Lysobacter maris strain HZ9B chromosome, complete genome",4.0,NZ_CP029843.1,Lysobacter maris
223,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_LT629732.1 Actinopolymorpha singaporensis strain DSM 22024 genome assembly, chromosome: I",3.0,NZ_LT629732.1,Actinopolymorpha singaporensis
224,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded,"NZ_CP017687.1 Pseudomonas lundensis strain AU1044 chromosome, complete genome",5.0,NZ_CP017687.1,Pseudomonas lundensis
225,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_ONZJ01000003.1 Rhodobacteraceae bacterium EL129 isolate unclassified Rhodobacteraceae strain EL129, whole genome shotgun sequence",3.0,NZ_ONZJ01000003.1,Rhodobacteraceae bacterium
226,TcB_expanded TcB_expanded TcdA1_expanded TcC_expanded TcC_expanded,"NZ_QUOK01000045.1 Rhodohalobacter sp. SW132, whole genome shotgun sequence",5.0,NZ_QUOK01000045.1,Rhodohalobacter sp.
227,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,NZ_CP033700.1 Yersinia pestis strain FDAARGOS_601 plasmid unnamed3,7.0,NZ_CP033700.1,Yersinia pestis
228,A2_expanded TcB_expanded TcC_expanded,"NZ_CP015381.1 Desulfococcus multivorans strain DSM 2059, complete genome",3.0,NZ_CP015381.1,Desulfococcus multivorans
229,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_WIAO01000088.1 Glycomyces sp. NEAU-7082 Scaffold88, whole genome shotgun sequence",3.0,NZ_WIAO01000088.1,Glycomyces sp.
