NC_013715.1 Rothia mucilaginosa DY-18, complete genome
NZ_CP012273.1 Pediococcus damnosus strain TMW 2.1532 plasmid pL21532-4, complete sequence
NZ_CP012274.1 Pediococcus damnosus strain TMW 2.1532 plasmid pL21532-5, complete sequence
NZ_CP032635.1 Lactobacillus sakei strain ZFM225 chromosome, complete genome
NZ_CP032636.1 Lactobacillus sakei strain ZFM225 plasmid unnamed1, complete sequence
NC_022237.1 Streptococcus intermedius C270, complete sequence
NZ_CP015577.1 Campylobacter iguaniorum strain RM11343 chromosome, complete genome
NZ_CP016979.1 Brucella sp. 2002734562 chromosome 1, complete sequence
NZ_CP016980.1 Brucella sp. 2002734562 chromosome 2, complete sequence
NZ_CP013237.1 Streptococcus mutans strain NG8, complete genome
NC_017768.1 Streptococcus mutans LJ23, complete genome
NZ_LT962914.1 Brucella melitensis isolate 1 chromosome 1
NZ_LT962915.1 Brucella melitensis isolate 1 chromosome 2
NZ_CP007777.1 Campylobacter lari RM16701 chromosome, complete genome
NZ_LT960790.1 Lactobacillus sakei strain J54 chromosome 1
NZ_LT960791.1 Lactobacillus sakei strain J54 plasmid 2, complete sequence
NZ_LT960792.1 Lactobacillus sakei strain J54 plasmid 3, complete sequence
NC_011126.1 Hydrogenobaculum sp. Y04AAS1, complete genome
NZ_LT635459.1 Helicobacter pylori isolate HE132/09 chromosome I
NZ_LT962932.1 Brucella melitensis isolate 1 chromosome 1
NZ_LT962933.1 Brucella melitensis isolate 1 chromosome 2
NZ_LS483348.1 Streptococcus lutetiensis strain NCTC8738 chromosome 1
NZ_HG316453.1 Streptococcus pyogenes strain H293
NZ_CP013988.1 Aerococcus urinaeequi strain USDA-ARS-USMARC-56713 chromosome, complete genome
NZ_CP031246.1 Streptococcus pneumoniae strain M26368 chromosome, complete genome
NZ_CP022879.1 Brucella abortus strain MC chromosome 1, complete sequence
NZ_CP022880.1 Brucella abortus strain MC chromosome 2, complete sequence
NZ_LR134508.1 Campylobacter lari strain NCTC11937 chromosome 1
NZ_CP021866.1 Streptococcus agalactiae strain SG-M29 chromosome, complete genome
NZ_CP040239.1 Campylobacter coli strain S9 chromosome, complete genome
NZ_CP040240.1 Campylobacter coli strain S9 plasmid pCcS9_1, complete sequence
NZ_CP040241.1 Campylobacter coli strain S9 plasmid pCcS9_2, complete sequence
NZ_CP040242.1 Campylobacter coli strain S9 plasmid pCcS9_3, complete sequence
NZ_CP010476.1 Campylobacter jejuni strain CJ677CC521, complete genome
NC_022584.1 Streptococcus sp. I-G2, complete genome
NZ_CP014241.1 Bifidobacterium angulatum strain GT102, complete genome
NZ_AP018937.1 Streptococcus pneumoniae strain HU-OH
NZ_CP042986.1 Histophilus somni strain UOC-KLM-ATR-07 chromosome, complete genome
NZ_CP044412.1 Lactobacillus sp. JM1 chromosome, complete genome
NZ_CP044413.1 Lactobacillus sp. JM1 plasmid unnamed1, complete sequence
NZ_CP044414.1 Lactobacillus sp. JM1 plasmid unnamed2, complete sequence
NZ_CP024953.1 Helicobacter pylori strain 7.13 chromosome, complete genome
NC_017761.1 Helicobacter cinaedi PAGU611, complete genome
NC_017762.1 Helicobacter cinaedi PAGU611 plasmid pHci1, complete sequence
NZ_CP045642.1 Lactobacillus helveticus strain LZ-R-5 chromosome, complete genome
NZ_CP046051.1 Ruminococcaceae bacterium LBM 19010 chromosome, complete genome
NZ_CP024074.1 Helicobacter pylori strain 7.13_R2a chromosome, complete genome
NZ_CP021865.1 Streptococcus agalactiae strain SG-M50 chromosome, complete genome
NC_017860.1 Prevotella intermedia 17 chromosome I, complete sequence
NC_017861.1 Prevotella intermedia 17 chromosome II, complete sequence
NC_011134.1 Streptococcus equi subsp. zooepidemicus MGCS10565, complete genome
NZ_CP004391.1 Pasteurella multocida subsp. multocida OH4807, complete genome
NZ_CP007522.1 Bifidobacterium animalis subsp. lactis KLDS2.0603 strain KLDS 2.0603 chromosome, complete genome
NZ_CP007497.1 Streptococcus suis strain ZY05719, complete genome
NZ_CP017878.1 Campylobacter coli strain BG2108 chromosome, complete genome
NZ_CP017879.1 Campylobacter coli strain BG2108 plasmid pCCDM108L, complete sequence
NZ_CP017880.1 Campylobacter coli strain BG2108 plasmid pCCDM108S, complete sequence
NC_017593.1 Streptococcus pneumoniae INV200, complete genome
NZ_CP032825.1 Arcobacter cryaerophilus D2610 chromosome, complete genome
NC_010258.1 Coxiella burnetii 'MSU Goat Q177' plasmid QpRS, complete sequence
NZ_CP018150.1 Coxiella burnetii 'MSU Goat Q177' chromosome, complete genome
NZ_LR738721.1 Streptococcus suis isolate S10 chromosome 1
NZ_CP049316.1 Caballeronia sp. SBC2 chromosome, complete genome
NZ_CP049317.1 Caballeronia sp. SBC2 plasmid pSBC2-1, complete sequence
NZ_CP049318.1 Caballeronia sp. SBC2 plasmid pSBC2-2, complete sequence
NZ_CP049319.1 Caballeronia sp. SBC2 plasmid pSBC2-3, complete sequence
NZ_CP049320.1 Caballeronia sp. SBC2 plasmid pSBC2-4, complete sequence
NZ_CP049321.1 Caballeronia sp. SBC2 plasmid pSBC2-5, complete sequence
NZ_CP049322.1 Caballeronia sp. SBC2 plasmid pSBC2-6, complete sequence
NZ_CP049323.1 Caballeronia sp. SBC2 plasmid pSBC2-7, complete sequence
NZ_AP013355.1 Helicobacter pylori 26695-1CH
NZ_CP035790.1 Lactobacillus reuteri strain ATG-F4 chromosome, complete genome
NC_017372.1 Helicobacter pylori India7, complete genome
NZ_CP046041.1 Streptococcus equi subsp. zooepidemicus strain AZ-45470 chromosome, complete genome
NZ_CP013074.1 Dehalococcoides mccartyi strain CG3 chromosome, complete genome
NZ_LT635458.1 Helicobacter pylori isolate HE143/09 chromosome I
NZ_LS483342.1 Streptococcus agalactiae strain NCTC11930 chromosome 1
NZ_CP023501.1 Weissella paramesenteroides strain FDAARGOS_414 chromosome, complete genome
NZ_LR134500.1 Campylobacter jejuni strain NCTC13261 chromosome 1
NZ_CP041939.1 Carnobacterium sp. PL17GRE32 chromosome, complete genome
NZ_CP011486.1 Helicobacter pylori strain K26A1 chromosome, complete genome
NZ_CP025475.1 Lactobacillus curvatus strain IRG2 plasmid pIRG201, complete sequence
NZ_CP025476.1 Lactobacillus curvatus strain IRG2 chromosome, complete genome
NZ_CP015432.1 [Haemophilus] ducreyi strain GHA5, complete genome
NZ_CP044164.1 Campylobacter coli strain AR-0417 chromosome, complete genome
NZ_CP015424.1 [Haemophilus] ducreyi strain VAN1, complete genome
NZ_LT962912.1 Brucella melitensis isolate 1 chromosome 1
NZ_LT962913.1 Brucella melitensis isolate 1 chromosome 2
NZ_CP007573.1 Streptococcus anginosus strain SA1 chromosome, complete genome
NZ_CP026323.1 Helicobacter pylori strain 26695-dRdM1dM2 chromosome, complete genome
NZ_CP010462.1 Campylobacter jejuni strain CJ677CC100, complete genome
NZ_CP021701.1 Lactobacillus johnsonii strain UMNLJ21 plasmid pUMNLJ21_1 sequence
NZ_CP021702.1 Lactobacillus johnsonii strain UMNLJ21 plasmid pUMNLJ21_2 sequence
NZ_CP021703.1 Lactobacillus johnsonii strain UMNLJ21, complete genome
NZ_CP023543.1 Campylobacter jejuni strain CFSAN032806 chromosome, complete genome
NZ_CP023544.1 Campylobacter jejuni strain CFSAN032806 plasmid pCFSAN032806, complete sequence
NZ_CP011325.1 Streptococcus agalactiae strain HN016 chromosome, complete genome
NZ_LT962918.1 Brucella melitensis isolate 1 chromosome 1
NZ_LT962919.1 Brucella melitensis isolate 1 chromosome 2
NZ_CP010501.1 Campylobacter jejuni strain CJ677CC520, complete genome
NZ_CP016973.1 Brucella canis strain 2009004498 chromosome 1, complete sequence
NZ_CP016974.1 Brucella canis strain 2009004498 chromosome 2, complete sequence
NZ_LR216064.1 Streptococcus pneumoniae strain GPSC13 substr. ST473 isolate 569492b0-41bd-11e5-998e-3c4a9275d6c6 chromosome 1
NC_022353.2 Campylobacter jejuni subsp. jejuni 00-2544, complete sequence
NC_022354.1 Campylobacter jejuni subsp. jejuni 00-2544 plasmid unnamed, complete sequence
NC_021486.1 Streptococcus agalactiae ILRI005, complete genome
NZ_CP007718.1 Brucella suis bv. 3 str. 686 chromosome 2, complete sequence
NZ_CP007719.1 Brucella suis bv. 3 str. 686 chromosome 1, complete sequence
NZ_CP051649.1 Lactobacillus acetotolerans strain LJ49 chromosome, complete genome
NC_014922.1 Haemophilus influenzae F3047, complete genome
NZ_AP014880.1 Streptococcus intermedius strain TYG1620
NZ_LT635460.1 Helicobacter pylori isolate HE178/09 chromosome I
NZ_CP028247.1 Pediococcus acidilactici strain SRCM102731 chromosome, complete genome
NZ_CP028248.1 Pediococcus acidilactici strain SRCM102731 plasmid unnamed1, complete sequence
NZ_CP010307.1 Campylobacter jejuni subsp. jejuni strain 00-6200, complete genome
NZ_CP048019.1 Pediococcus acidilactici strain CACC 537 chromosome, complete genome
NZ_CP033836.1 Gardnerella vaginalis strain FDAARGOS_568 chromosome, complete genome
NZ_LT606949.1 Polynucleobacter necessarius isolate PPGSP7 chromosome I
NZ_CP054657.1 Lactobacillus reuteri strain AN417 chromosome, complete genome
NZ_CP054658.1 Lactobacillus reuteri strain AN417 plasmid pAN417A, complete sequence
NZ_CP054659.1 Lactobacillus reuteri strain AN417 plasmid pAN417B, complete sequence
NZ_CP054660.1 Lactobacillus reuteri strain AN417 plasmid pAN417C, complete sequence
NZ_CP054661.1 Lactobacillus reuteri strain AN417 plasmid pAN417D, complete sequence
NC_017368.1 Helicobacter pylori F16, complete genome
NZ_CP016827.1 Lactobacillus helveticus strain D76, complete genome
NZ_CP043771.1 Haemophilus influenzae biotype aegyptius strain HE15/F3028 chromosome, complete genome
NZ_CP017151.1 Lactobacillus fermentum strain NCC2970, complete genome
NZ_LT838273.1 Helicobacter pylori isolate HE93/10_v1 chromosome I
NZ_CP024073.1 Helicobacter pylori strain 7.13_R1c chromosome, complete genome
NZ_LT615227.1 Polynucleobacter necessarius isolate PPGSP8 chromosome I
NZ_LR129843.1 Streptococcus pneumoniae strain 180-2 isolate 180-2 chromosome 1
NZ_LR738720.1 Streptococcus suis isolate GD-0001 chromosome 1
NZ_HG939456.1 Streptococcus agalactiae COH1
NC_017364.1 Helicobacter pylori Gambia94/24 plasmid, complete sequence
NC_017371.1 Helicobacter pylori Gambia94/24, complete genome
NZ_CP047652.1 Bombella sp. KACC 21507 chromosome, complete genome
NZ_CP047653.1 Bombella sp. KACC 21507 plasmid unnamed1, complete sequence
NZ_CP054010.1 Prevotella melaninogenica strain FDAARGOS_760 chromosome 1, complete sequence
NZ_CP054011.1 Prevotella melaninogenica strain FDAARGOS_760 chromosome 2, complete sequence
NZ_CP022475.1 Lactobacillus curvatus strain KG6 chromosome, complete genome
NZ_CP022476.1 Lactobacillus curvatus strain KG6 plasmid pKG6_1 sequence
NZ_CP029749.1 Streptococcus agalactiae strain PLGBS13 chromosome, complete genome
NZ_CP050136.1 Kingella kingae strain ATCC 23332 chromosome, complete genome
NC_022352.2 Campylobacter jejuni subsp. jejuni 00-2426, complete sequence
NC_017737.1 Helicobacter cetorum MIT 00-7128, complete genome
NC_017738.1 Helicobacter cetorum MIT 00-7128 plasmid pHCW, complete sequence
NZ_CP040608.1 Campylobacter sp. CFSAN093226 chromosome, complete genome
NZ_CP040609.1 Campylobacter sp. CFSAN093226 plasmid unnamed, complete sequence
NC_017356.1 Helicobacter pylori Sat464 plasmid pHPSAT464, complete sequence
NC_017359.1 Helicobacter pylori Sat464, complete genome
NC_016933.2 Francisella tularensis subsp. tularensis TIGB03, complete sequence
NC_015587.1 Hydrogenobaculum sp. SHO, complete sequence
NC_015291.1 Streptococcus oralis Uo5, complete genome
NZ_CP017952.1 Streptococcus iniae strain 89353 chromosome, complete genome
NZ_CP034147.1 Helicobacter pylori strain HP14039 chromosome, complete genome
NZ_CP021966.1 Leuconostoc mesenteroides strain CBA7131 chromosome, complete genome
NZ_CP021967.1 Leuconostoc mesenteroides strain CBA7131 plasmid pLMCBA713101, complete sequence
NZ_CP021968.1 Leuconostoc mesenteroides strain CBA7131 plasmid pLMCBA713102, complete sequence
NZ_CP021969.1 Leuconostoc mesenteroides strain CBA7131 plasmid pLMCBA713103, complete sequence
NZ_CP021642.1 Campylobacter concisus strain P2CDO4 chromosome, complete genome
NZ_CP021643.1 Campylobacter concisus strain P2CDO4 plasmid pICON, complete sequence
NZ_CP011372.1 Campylobacter lari strain Slaughter Beach chromosome, complete genome
NZ_LT960784.1 Lactobacillus sakei isolate MFPB19 chromosome 1
NZ_LT960785.1 Lactobacillus sakei isolate MFPB19 plasmid 2, complete sequence
NZ_LT960786.1 Lactobacillus sakei isolate MFPB19 plasmid 3, complete sequence
NZ_LT960787.1 Lactobacillus sakei isolate MFPB19 plasmid 4, complete sequence
NC_017456.1 Gardnerella vaginalis HMP9231, complete genome
NZ_CP049886.1 Vagococcus sp. HDW17A chromosome, complete genome
NZ_CP014505.1 Burkholderia sp. PAMC 28687 chromosome 1, complete sequence
NZ_CP014506.1 Burkholderia sp. PAMC 28687 chromosome 2
NZ_CP014507.1 Burkholderia sp. PAMC 28687 chromosome 3
NZ_CP014508.1 Burkholderia sp. PAMC 28687 plasmid 1, complete sequence
NZ_CP014509.1 Burkholderia sp. PAMC 28687 plasmid 2, complete sequence
NZ_CP014510.1 Burkholderia sp. PAMC 28687 plasmid 3, complete sequence
NZ_CP014511.1 Burkholderia sp. PAMC 28687 plasmid 4, complete sequence
NZ_CP014512.1 Burkholderia sp. PAMC 28687 plasmid 5, complete sequence
NZ_CP053256.1 Helicobacter pylori A45 chromosome, complete genome
NZ_CP053257.1 Helicobacter pylori A45 plasmid unnamed, complete sequence
NZ_LT962938.1 Brucella melitensis isolate 1 chromosome 1
NZ_LT962939.1 Brucella melitensis isolate 1 chromosome 2
NZ_CP021529.1 Pediococcus acidilactici strain SRCM101189 chromosome, complete genome
NZ_CP021530.1 Pediococcus acidilactici strain SRCM101189 plasmid pPL1189-1, complete sequence
NZ_CP021531.1 Pediococcus acidilactici strain SRCM101189 plasmid pPL1189-2 sequence
NZ_CP007776.2 Campylobacter lari CCUG 22395 chromosome, complete genome
NC_022362.1 Campylobacter jejuni subsp. jejuni 00-2425, complete genome
NC_020814.1 Hydrogenobaculum sp. SN, complete sequence
NZ_CP024076.1 Helicobacter pylori strain 7.13_R2c chromosome, complete genome
NZ_CP021864.1 Streptococcus agalactiae strain SG-M158 chromosome, complete genome
NZ_CP042992.1 Histophilus somni strain UOC-KLM-ATR-013 chromosome, complete genome
NZ_CP022877.1 Brucella abortus strain BD chromosome 1, complete sequence
NZ_CP022878.1 Brucella abortus strain BD chromosome 2, complete sequence
NZ_CP006911.1 Candidatus Thioglobus singularis PS1 chromosome, complete genome
NZ_CP019384.1 Vampirococcus sp. LiM chromosome, complete genome
NZ_CP010058.1 Campylobacter jejuni subsp. jejuni strain YH001 chromosome, complete genome
NZ_LS483318.1 Streptococcus dysgalactiae subsp. equisimilis strain NCTC5370 chromosome 1
NZ_CP019780.1 Bartonella sp. A1379B, complete genome
NZ_CP003715.1 Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023, complete genome
NZ_CP003716.1 Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023 plasmid pZM1402301, complete sequence
NZ_CP003717.1 Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023 plasmid pZM1402302, complete sequence
NZ_CP003718.1 Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023 plasmid pZM1402303, complete sequence
NZ_CP003719.1 Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023 plasmid pZM1402304, complete sequence
NZ_CP010475.1 Campylobacter jejuni strain CJ677CC073, complete genome
NZ_LT635477.1 Helicobacter pylori isolate HE147/09 chromosome I
NZ_CP026444.1 Bordetella pertussis strain J272 chromosome, complete genome
NZ_CP033040.1 Thiomicrorhabdus indica strain 13-15A chromosome, complete genome
NZ_CP038468.1 Citrobacter sp. SNU WT2 plasmid unnamed1, complete sequence
NZ_CP038469.1 Citrobacter sp. SNU WT2 chromosome, complete genome
NZ_CP038266.1 Microbacterium wangchenii strain dk512 chromosome, complete genome
NZ_CP039277.1 Salmonella enterica subsp. enterica strain 12-0523 chromosome, complete genome
NZ_CP039278.1 Salmonella enterica subsp. enterica strain 12-0523 plasmid p12-0523.1, complete sequence
NZ_CP026448.1 Bordetella pertussis strain J267 chromosome, complete genome
NZ_CP036169.1 Corynebacterium pseudotuberculosis strain 99MAT chromosome, complete genome
NZ_CP044016.1 Arachidicoccus sp. B3-10 chromosome, complete genome
NZ_CP044017.1 Arachidicoccus sp. B3-10 plasmid pB3-10, complete sequence
NZ_CP026431.1 Bordetella pertussis strain J363 chromosome, complete genome
NZ_CP037892.1 Salmonella enterica subsp. enterica strain CFSAN087304 chromosome, complete genome
NZ_CP033181.1 Xanthomonas oryzae pv. oryzae strain CFBP7319 chromosome, complete genome
NZ_CP026914.1 Bordetella pertussis strain J567 chromosome, complete genome
NZ_CP036244.1 Escherichia coli strain S65EC plasmid pS65EC, complete sequence
NZ_CP036245.1 Escherichia coli strain S65EC chromosome, complete genome
NZ_CP036164.1 Janibacter limosus strain P3-3-X1 chromosome, complete genome
NZ_CP039561.1 Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:- strain PNCS014847 chromosome, complete genome
NZ_CP039562.1 Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:- strain PNCS014847 plasmid p08-5333.1, complete sequence
NZ_CP039563.1 Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:- strain PNCS014847 plasmid p08-5333.2, complete sequence
NZ_CP039491.1 Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000700 chromosome, complete genome
NZ_CP039492.1 Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000700 plasmid pCFSAN000700, complete sequence
NZ_CP026922.1 Bordetella pertussis strain J092 chromosome, complete genome
NZ_CP039251.1 Psychrobacter sp. PAMC27889 chromosome, complete genome
NZ_CP037894.1 Salmonella enterica strain FSW0104 chromosome, complete genome
NZ_CP033187.3 Xanthomonas oryzae pv. oryzae strain PXO61 chromosome, complete genome
NZ_CP039565.1 Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:- strain PNCS014849 chromosome, complete genome
NZ_CP039566.1 Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:- strain PNCS014849 plasmid p08-7727.1, complete sequence
NZ_CP036378.1 Xanthomonas oryzae pv. oryzae strain CIX298 chromosome, complete genome
NZ_CP038029.1 Sphingobacterium psychroaquaticum strain SJ-25 chromosome, complete genome
NZ_CP026464.1 Bordetella pertussis strain J249 chromosome, complete genome
NZ_CP033188.1 Xanthomonas oryzae pv. oryzae strain PXO513 chromosome, complete genome
NZ_CP035089.1 Pseudomonas sp. 11K1 plasmid p11K1, complete sequence
NZ_CP039270.1 Salmonella enterica subsp. enterica serovar Senftenberg str. CFSAN004025 chromosome, complete genome
NZ_CP039271.1 Salmonella enterica subsp. enterica serovar Senftenberg str. CFSAN004025 plasmid pCFSAN004025.1, complete sequence
NZ_CP039272.1 Salmonella enterica subsp. enterica serovar Senftenberg str. CFSAN004025 plasmid pCFSAN004025.2, complete sequence
NZ_CP039273.1 Salmonella enterica subsp. enterica serovar Senftenberg str. CFSAN004025 plasmid pCFSAN004025.3, complete sequence
NZ_CP039274.1 Salmonella enterica subsp. enterica serovar Senftenberg str. CFSAN004025 plasmid pCFSAN004025.4, complete sequence
NZ_CP039275.1 Salmonella enterica subsp. enterica serovar Senftenberg str. CFSAN004025 plasmid pCFSAN004025.5, complete sequence
NZ_CP039276.1 Salmonella enterica subsp. enterica serovar Senftenberg str. CFSAN004025 plasmid pCFSAN004025.6, complete sequence
NZ_CP026998.1 Bordetella pertussis strain J066 chromosome, complete genome
NZ_CP039579.1 Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:- strain PNCS014857 chromosome, complete genome
NZ_CP039580.1 Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:- strain PNCS014857 plasmid p10-3881.1, complete sequence
NZ_CP039581.1 Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:- strain PNCS014857 plasmid p10-3881.2, complete sequence
NZ_CP026896.1 Bordetella pertussis strain J680 chromosome, complete genome
NZ_CP026634.1 Bordetella pertussis strain A339 chromosome, complete genome
NZ_CP038274.1 Legionella israelensis strain Bercovier 4 plasmid unnamed1, complete sequence
NZ_CP037417.1 Bacillus velezensis strain LB002 chromosome, complete genome
NZ_CP037418.1 Bacillus velezensis strain LB002 plasmid unnamed1
NZ_CP037419.1 Bacillus velezensis strain LB002 plasmid unnamed2
NZ_CP037420.1 Bacillus velezensis strain LB002 plasmid unnamed3
NZ_CP036170.1 [Clostridium] scindens ATCC 35704 chromosome, complete genome
NZ_CP026882.1 Bordetella pertussis strain J703 chromosome, complete genome
NZ_CP038186.1 Bacillus licheniformis strain MCC 2514 chromosome, complete genome
NZ_CP026904.1 Bordetella pertussis strain J614 chromosome, complete genome
NZ_CP038439.1 Paracoccus sp. 2251 chromosome, complete genome
NZ_CP040756.1 Paracoccus sp. 2251 plasmid unnamed9, complete sequence
NZ_CP040757.1 Paracoccus sp. 2251 plasmid unnamed10, complete sequence
NZ_CP040758.1 Paracoccus sp. 2251 plasmid unnamed7, complete sequence
NZ_CP040759.1 Paracoccus sp. 2251 plasmid unnamed8, complete sequence
NZ_CP040760.1 Paracoccus sp. 2251 plasmid unnamed6, complete sequence
NZ_CP040761.1 Paracoccus sp. 2251 plasmid unnamed5, complete sequence
NZ_CP040762.1 Paracoccus sp. 2251 plasmid unnamed2, complete sequence
NZ_CP040763.1 Paracoccus sp. 2251 plasmid unnamed4, complete sequence
NZ_CP040764.1 Paracoccus sp. 2251 plasmid unnamed3, complete sequence
NZ_CP040765.1 Paracoccus sp. 2251 plasmid unnamed1, complete sequence
NZ_CP036187.1 Klebsiella pneumoniae strain BA1559 chromosome, complete genome
NZ_CP036188.1 Klebsiella pneumoniae strain BA1559 plasmid pIncFIBK, complete sequence
NZ_CP036189.1 Klebsiella pneumoniae strain BA1559 plasmid pCol440I
NZ_CP037895.1 Thermaerobacter sp. FW80 chromosome, complete genome
NZ_CP037896.1 Thermaerobacter sp. FW80 plasmid unnamed1, complete sequence
NZ_CP037897.1 Thermaerobacter sp. FW80 plasmid unnamed2, complete sequence
NZ_CP026621.1 Bordetella pertussis strain J529 chromosome, complete genome
NZ_CP027565.1 Weissella confusa strain VTT E-90392 chromosome, complete genome
NZ_CP027566.1 Weissella confusa strain VTT E-90392 plasmid pWconfE392-1
NZ_CP027567.1 Weissella confusa strain VTT E-90392 plasmid pWconfE392-1
NZ_CP027568.1 Weissella confusa strain VTT E-90392 plasmid pWconfE392-2, complete sequence
NZ_CP034776.1 Klebsiella pneumoniae strain 18CPO060 plasmid phvKP060, complete sequence
NZ_CP034777.1 Klebsiella pneumoniae strain 18CPO060 plasmid pKPCKP060, complete sequence
NZ_CP034778.1 Klebsiella pneumoniae strain 18CPO060 chromosome, complete genome
NZ_CP037755.1 Flavisolibacter sp. 17J28-1 chromosome, complete genome
NZ_CP032428.1 Neisseria gonorrhoeae strain TFG-B2 plasmid pTFGB2, complete sequence
NZ_CP032429.2 Neisseria gonorrhoeae strain TFG-B2 chromosome, complete genome
NZ_CP026466.1 Bordetella pertussis strain J402 chromosome, complete genome
NZ_CP044429.1 Listeria monocytogenes serotype 4b str. LIS0087 chromosome, complete genome
NZ_CP036294.1 Alcaligenes faecalis strain AN70 chromosome, complete genome
NZ_CP036200.1 Shewanella maritima strain D4-2 chromosome, complete genome
NZ_CP037975.1 Burkholderia pseudomallei strain BPs112 chromosome 2, complete sequence
NZ_CP036515.1 Lichenihabitans psoromatis strain PAMC 29148 chromosome, complete genome
NZ_CP036516.1 Lichenihabitans psoromatis strain PAMC 29148 plasmid p_unnamed1, complete sequence
NZ_CP036517.1 Lichenihabitans psoromatis strain PAMC 29148 plasmid p_unnamed2, complete sequence
NZ_CP036404.1 Komagataeibacter saccharivorans strain JH1 chromosome, complete genome
NZ_CP036405.1 Komagataeibacter saccharivorans strain JH1 plasmid p221732, complete sequence
NZ_CP036406.1 Komagataeibacter saccharivorans strain JH1 plasmid p183533
NZ_CP036407.1 Komagataeibacter saccharivorans strain JH1 plasmid p92689, complete sequence
NZ_CP036408.1 Komagataeibacter saccharivorans strain JH1 plasmid p59558
NZ_CP036409.1 Komagataeibacter saccharivorans strain JH1 plasmid p41060
NZ_CP036410.1 Komagataeibacter saccharivorans strain JH1 plasmid p5317, complete sequence
NZ_CP036411.1 Komagataeibacter saccharivorans strain JH1 plasmid p4904, complete sequence
NZ_CP036412.1 Komagataeibacter saccharivorans strain JH1 plasmid p3050, complete sequence
NZ_CP036413.1 Komagataeibacter saccharivorans strain JH1 plasmid p2808
NZ_CP036414.1 Komagataeibacter saccharivorans strain JH1 plasmid p2285
NZ_CP036415.1 Komagataeibacter saccharivorans strain JH1 plasmid p1995
NZ_CP036416.1 Komagataeibacter saccharivorans strain JH1 plasmid p1460
NZ_CP036417.1 Komagataeibacter saccharivorans strain JH1 plasmid p1085
NZ_CP036418.1 Komagataeibacter saccharivorans strain JH1 plasmid p532
NZ_CP039599.1 Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:- strain PNCS014867 chromosome, complete genome
NZ_CP039600.1 Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:- strain PNCS014867 plasmid p12-6334.1, complete sequence
NZ_CP039601.1 Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:- strain PNCS014867 plasmid p12-6334.2, complete sequence
NZ_CP039602.1 Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:- strain PNCS014867 plasmid p12-6334.3, complete sequence
NZ_CP039473.1 Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000968 chromosome, complete genome
NZ_CP039474.1 Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000968 plasmid pCFSAN000968_1, complete sequence
NZ_CP039475.1 Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000968 plasmid pCFSAN000968_2, complete sequence
NZ_CP026628.1 Bordetella pertussis strain J424 chromosome, complete genome
NZ_CP036514.1 Hafnia alvei strain PCM_1220 chromosome, complete genome
NZ_CP041713.1 Legionella geestiana strain HL-0438-4026 chromosome, complete genome
NZ_CP041714.1 Legionella geestiana strain HL-0438-4026 plasmid unnamed1, complete sequence
NZ_CP041715.1 Legionella geestiana strain HL-0438-4026 plasmid unnamed2, complete sequence
NZ_CP025276.1 Salmonella enterica subsp. enterica strain USDA-ARS-USMARC-60984 chromosome, complete genome
NZ_CP025277.1 Salmonella enterica subsp. enterica strain USDA-ARS-USMARC-60984 plasmid pSJO-60984, complete sequence
NZ_CP033186.1 Xanthomonas oryzae pv. oryzae strain CFBP7320 chromosome, complete genome
NZ_CP026915.1 Bordetella pertussis strain J549 chromosome, complete genome
NZ_CP026465.1 Bordetella pertussis strain B228 chromosome, complete genome
NZ_CP026911.1 Bordetella pertussis strain J586 chromosome, complete genome
NZ_CP039482.1 Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000954 chromosome, complete genome
NZ_CP039483.1 Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000954 plasmid pCFSAN000954, complete sequence
NZ_CP039558.1 Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:- strain PNCS014846 chromosome, complete genome
NZ_CP039559.1 Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:- strain PNCS014846 plasmid p08-4425.1, complete sequence
NZ_CP039560.1 Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:- strain PNCS014846 plasmid p08-4425.2, complete sequence
NZ_CP038614.1 Arsenophonus nasoniae strain FIN plasmid pArsFIN2, complete sequence
