NZ_CP016824.1 Streptomyces sampsonii strain KJ40 chromosome, complete genome
NZ_CP026759.1 Klebsiella aerogenes strain AR_0062 plasmid tig00000059_pilon, complete sequence
NZ_CP026760.1 Klebsiella aerogenes strain AR_0062 plasmid unnamed4
NZ_CP032930.1 Klebsiella aerogenes strain AR_0062 plasmid unnamed5, complete sequence
NZ_CP033960.1 Klebsiella pneumoniae strain L482 chromosome, complete genome
NZ_CP033961.1 Klebsiella pneumoniae strain L482 plasmid p2_L382, complete sequence
NZ_CP033962.1 Klebsiella pneumoniae strain L482 plasmid p3_L382, complete sequence
NZ_CP033963.1 Klebsiella pneumoniae strain L482 plasmid p4_L382, complete sequence
NZ_CP033964.1 Klebsiella pneumoniae strain L482 plasmid p5_L382, complete sequence
NZ_CP033965.1 Klebsiella pneumoniae strain L482 plasmid p6_L382, complete sequence
NZ_CP018206.1 Escherichia coli strain MRSN346647 chromosome, complete genome
NZ_CP018207.1 Escherichia coli strain MRSN346647 plasmid pMRSN346647_113.1, complete sequence
NZ_CP018208.1 Escherichia coli strain MRSN346647 plasmid pMRSN346647_4.1, complete sequence
NZ_CP027442.1 Escherichia coli strain 2013C-3252 chromosome, complete genome
NZ_CP027443.1 Escherichia coli strain 2013C-3252 plasmid unnamed1, complete sequence
NZ_CP027444.1 Escherichia coli strain 2013C-3252 plasmid unnamed2, complete sequence
NZ_CP047391.1 Serratia marcescens strain 1602 chromosome, complete genome
NZ_CP047392.1 Serratia marcescens strain 1602 plasmid pKPC-2-HENAN1602, complete sequence
NZ_CP054160.1 Serratia fonticola strain Biosolid 3 chromosome, complete genome
NZ_CP034129.1 Klebsiella quasipneumoniae strain G4584 chromosome, complete genome
NZ_CP034130.1 Klebsiella quasipneumoniae strain G4584 plasmid pG4584_218.9Kb, complete sequence
NZ_CP034131.1 Klebsiella quasipneumoniae strain G4584 plasmid pG4584_136.4Kb, complete sequence
NZ_CP034132.1 Klebsiella quasipneumoniae strain G4584 plasmid pG4584_81.9Kb, complete sequence
NZ_CP034133.1 Klebsiella quasipneumoniae strain G4584 plasmid pG4584_52.4Kb, complete sequence
NZ_CP034134.1 Klebsiella quasipneumoniae strain G4584 plasmid pG4584_6.9Kb, complete sequence
NZ_CP034135.1 Klebsiella quasipneumoniae strain G4584 plasmid pG4584_3.7Kb, complete sequence
NZ_CP026231.1 Citrobacter freundii complex sp. CFNIH4 chromosome, complete genome
NZ_CP026232.1 Citrobacter freundii complex sp. CFNIH4 plasmid pKPC-c9fd, complete sequence
NZ_CP026233.1 Citrobacter freundii complex sp. CFNIH4 plasmid pCFR-0b27, complete sequence
NZ_CP026234.1 Citrobacter freundii complex sp. CFNIH4 plasmid pCFR-4109, complete sequence
NZ_CP015500.1 Klebsiella pneumoniae strain SKGH01 chromosome, complete genome
NZ_CP015501.1 Klebsiella pneumoniae strain SKGH01 plasmid unnamed 1, complete sequence
NZ_CP015502.1 Klebsiella pneumoniae strain SKGH01 plasmid unnamed 2, complete sequence
NZ_CP015503.1 Klebsiella pneumoniae strain SKGH01 plasmid unnamed 3, complete sequence
NZ_CP015504.1 Klebsiella pneumoniae strain SKGH01 plasmid unnamed 4, complete sequence
NZ_CP015505.1 Klebsiella pneumoniae strain SKGH01 plasmid unnamed 5, complete sequence
NZ_CP015842.1 Escherichia coli O157:H7 strain FRIK2533 chromosome, complete genome
NZ_CP022729.1 Escherichia coli O157:H7 strain FRIK2533 plasmid p35K, complete sequence
NZ_CP023844.1 Escherichia coli strain 4/1-1 chromosome, complete genome
NZ_CP023845.1 Escherichia coli strain 4/1-1 plasmid p4_1_1.1, complete sequence
NZ_CP023846.1 Escherichia coli strain 4/1-1 plasmid p4_1_1.2, complete sequence
NZ_CP023847.1 Escherichia coli strain 4/1-1 plasmid p4_1_1.3, complete sequence
NZ_CP023848.1 Escherichia coli strain 4/1-1 plasmid p4_1_1.4, complete sequence
NZ_CP010219.1 Escherichia coli strain M18, complete genome
NZ_CP010220.1 Escherichia coli strain M18 plasmid A, complete sequence
NZ_CP018423.1 Klebsiella pneumoniae strain MNCRE69 plasmid pMNCRE69_2, complete sequence
NZ_CP018424.1 Klebsiella pneumoniae strain MNCRE69 plasmid pMNCRE69_4, complete sequence
NZ_CP018425.1 Klebsiella pneumoniae strain MNCRE69 plasmid pMNCRE69_1, complete sequence
NZ_CP018426.1 Klebsiella pneumoniae strain MNCRE69 plasmid pMNCRE69_3, complete sequence
NZ_CP018427.1 Klebsiella pneumoniae strain MNCRE69 chromosome, complete genome
NZ_CP045869.1 Klebsiella aerogenes strain Y3 chromosome, complete genome
NZ_CP031562.1 Klebsiella pneumoniae strain 2-1 chromosome, complete genome
NZ_CP031563.1 Klebsiella pneumoniae strain 2-1 plasmid pKP21HI1, complete sequence
NZ_CP031564.1 Klebsiella pneumoniae strain 2-1 plasmid pKP21AC2, complete sequence
NZ_CP012722.1 Bacillus anthracis strain PR05, complete genome
NZ_CP030765.1 Escherichia coli strain 2017C-4109 plasmid p2017C-4109, complete sequence
NZ_CP030766.1 Escherichia coli strain 2017C-4109 plasmid pMCR-1, complete sequence
NZ_CP030767.1 Escherichia coli strain 2017C-4109 chromosome, complete genome
NZ_CP031462.1 Xanthomonas oryzae pv. oryzae strain PX079 chromosome, complete genome
NZ_CP033847.1 Escherichia coli strain FDAARGOS_497 plasmid unnamed1, complete sequence
NZ_CP033848.1 Escherichia coli strain FDAARGOS_497 plasmid unnamed2, complete sequence
NZ_CP033849.1 Escherichia coli strain FDAARGOS_497 plasmid unnamed3, complete sequence
NZ_CP033850.1 Escherichia coli strain FDAARGOS_497 chromosome, complete genome
NZ_CP033851.1 Escherichia coli strain FDAARGOS_497 plasmid unnamed4, complete sequence
NZ_CP033852.1 Escherichia coli strain FDAARGOS_497 plasmid unnamed5, complete sequence
NZ_CP033853.1 Escherichia coli strain FDAARGOS_497 plasmid unnamed6, complete sequence
NZ_CP051694.1 Escherichia coli strain SCU-313 chromosome, complete genome
NZ_CP051695.1 Escherichia coli strain SCU-313 plasmid pSCU-313-1, complete sequence
NZ_CP051696.1 Escherichia coli strain SCU-313 plasmid pSCU-313-2, complete sequence
NZ_CP051697.1 Escherichia coli strain SCU-313 plasmid pSCU-313-3, complete sequence
NZ_CP033925.1 Chryseobacterium lactis strain G0197 chromosome, complete genome
NZ_CP042882.1 Klebsiella pneumoniae strain NMBU-W07E18 chromosome, complete genome
NZ_CP042883.1 Klebsiella pneumoniae strain NMBU-W07E18 plasmid pNMBU-W07E18_01, complete sequence
NZ_CP042884.1 Klebsiella pneumoniae strain NMBU-W07E18 plasmid pNMBU-W07E18_02, complete sequence
NZ_CP041126.1 Serratia marcescens strain WVU-005 chromosome, complete genome
NZ_CP041127.1 Serratia marcescens strain WVU-005 plasmid pWVU-005-1, complete sequence
NZ_CP041128.1 Serratia marcescens strain WVU-005 plasmid pWVU-005-2, complete sequence
NZ_LN847264.1 Pseudomonas sp. CCOS 191 chromosome I
NZ_CP044313.1 Escherichia coli strain RM11911 chromosome, complete genome
NZ_CP027027.1 Shigella dysenteriae strain E670/74 chromosome, complete genome
NZ_CP027028.1 Shigella dysenteriae strain E670/74 plasmid unnamed, complete sequence
NZ_CP049918.1 Bordetella bronchiseptica strain KVNON-570 chromosome, complete genome
NZ_CP018043.1 Mycobacterium sp. WY10, complete genome
NZ_CP038423.1 Escherichia coli O157:H7 strain 7409 chromosome, complete genome
NZ_CP038424.1 Escherichia coli O157:H7 strain 7409 plasmid p7409-1, complete sequence
NZ_CP021335.1 Escherichia coli strain 95JB1 chromosome, complete genome
NZ_CP021336.1 Escherichia coli strain 95JB1 plasmid p95JB1A, complete sequence
NZ_CP021337.1 Escherichia coli strain 95JB1 plasmid p95JB1B, complete sequence
NZ_CP029135.1 Klebsiella pneumoniae strain AR376 plasmid unnamed1, complete sequence
NZ_CP029136.1 Klebsiella pneumoniae strain AR376 plasmid unnamed2, complete sequence
NZ_CP029137.1 Klebsiella pneumoniae strain AR376 chromosome, complete genome
NZ_CP029138.1 Klebsiella pneumoniae strain AR376 plasmid unnamed3, complete sequence
NZ_CP029139.1 Klebsiella pneumoniae strain AR376 plasmid unnamed4, complete sequence
NZ_CP029689.1 Klebsiella pneumoniae strain 160111 chromosome, complete genome
NZ_CP030130.1 Klebsiella pneumoniae strain 160111 plasmid p10K_L111, complete sequence
NZ_CP030131.1 Klebsiella pneumoniae strain 160111 plasmid p5.6K_L111, complete sequence
NZ_CP030132.1 Klebsiella pneumoniae strain 160111 plasmid pIncAC2_L111, complete sequence
NZ_CP030133.1 Klebsiella pneumoniae strain 160111 plasmid pIncFII_L111, complete sequence
NZ_CP030134.1 Klebsiella pneumoniae strain 160111 plasmid pKPC2_L111, complete sequence
NZ_CP030135.1 Klebsiella pneumoniae strain 160111 plasmid pOXA48_L111, complete sequence
NZ_CP053952.1 Bacillus cereus strain FDAARGOS_798 plasmid unnamed1, complete sequence
NZ_CP053953.1 Bacillus cereus strain FDAARGOS_798 plasmid unnamed2, complete sequence
NZ_CP053954.1 Bacillus cereus strain FDAARGOS_798 chromosome, complete genome
NZ_CP009332.1 Bacillus thuringiensis strain HD1011 plasmid 3, complete sequence
NZ_CP009333.1 Bacillus thuringiensis strain HD1011 plasmid 4, complete sequence
NZ_CP009334.1 Bacillus thuringiensis strain HD1011 plasmid 2, complete sequence
NZ_CP009335.1 Bacillus thuringiensis strain HD1011 chromosome, complete genome
NZ_CP009336.1 Bacillus thuringiensis strain HD1011 plasmid 1, complete sequence
NZ_CP033605.1 Escherichia coli O157:H7 strain TR01 chromosome, complete genome
NZ_CP028124.1 Escherichia coli O26 str. RM10386 plasmid pRM10386-2, complete sequence
NZ_CP028125.1 Escherichia coli O26 str. RM10386 plasmid pRM10386-1, complete sequence
NZ_CP028126.1 Escherichia coli O26 str. RM10386 chromosome, complete genome
NZ_CP014755.1 Klebsiella pneumoniae strain AATZP, complete genome
NZ_CP014756.1 Klebsiella pneumoniae strain AATZP plasmid pKPN-04f, complete sequence
NZ_CP014757.1 Klebsiella pneumoniae strain AATZP plasmid pNDM-1fa, complete sequence
NZ_CP014758.1 Klebsiella pneumoniae strain AATZP plasmid pKPN-041, complete sequence
NZ_CP009939.1 Bacillus cereus strain 03BB87 plasmid pBCN, complete sequence
NZ_CP009940.1 Bacillus cereus strain 03BB87 plasmid pBCX01, complete sequence
NZ_CP009941.1 Bacillus cereus strain 03BB87 chromosome, complete genome
NZ_CP015022.1 Escherichia coli strain SRCC 1675 plasmid pSRCC 1675, complete sequence
NZ_CP015023.1 Escherichia coli strain SRCC 1675 chromosome, complete genome
NZ_CP006872.1 Paenibacillus polymyxa SQR-21 chromosome, complete genome
NZ_CP016810.1 Klebsiella pneumoniae strain DHQP1002001 plasmid p_IncFIB_DHQP1002001, complete sequence
NZ_CP016811.1 Klebsiella pneumoniae strain DHQP1002001 chromosome, complete genome
NZ_CP016812.1 Klebsiella pneumoniae strain DHQP1002001 plasmid p_incR_DHQP1002001, complete sequence
NZ_CP031800.1 Klebsiella pneumoniae strain MSB1_8A-sc-2280397 chromosome, complete genome
NZ_CP031801.1 Klebsiella pneumoniae strain MSB1_8A-sc-2280397 plasmid unnamed1, complete sequence
NZ_CP031802.1 Klebsiella pneumoniae strain MSB1_8A-sc-2280397 plasmid unnamed2, complete sequence
NZ_CP031803.1 Klebsiella pneumoniae strain MSB1_8A-sc-2280397 plasmid unnamed3, complete sequence
NZ_CP031804.1 Klebsiella pneumoniae strain MSB1_8A-sc-2280397 plasmid unnamed4, complete sequence
NZ_CP031805.1 Klebsiella pneumoniae strain MSB1_8A-sc-2280397 plasmid unnamed5, complete sequence
NZ_CP031806.1 Klebsiella pneumoniae strain MSB1_8A-sc-2280397 plasmid unnamed6, complete sequence
NZ_CP031807.1 Klebsiella pneumoniae strain MSB1_8A-sc-2280397 plasmid unnamed7, complete sequence
NZ_CP019304.1 Arthrobacter sp. QXT-31 chromosome, complete genome
NZ_CP011575.1 Klebsiella pneumoniae strain CAV1392 plasmid pKPC_CAV1392, complete sequence
NZ_CP011576.1 Klebsiella pneumoniae strain CAV1392 plasmid pCAV1392-50, complete sequence
NZ_CP011577.1 Klebsiella pneumoniae strain CAV1392 plasmid pCAV1392-131, complete sequence
NZ_CP011578.1 Klebsiella pneumoniae strain CAV1392, complete genome
NZ_CP023826.1 Escherichia coli strain 4/4 chromosome, complete genome
NZ_CP023827.1 Escherichia coli strain 4/4 plasmid p4_4.1, complete sequence
NZ_CP023828.1 Escherichia coli strain 4/4 plasmid p4_4.2, complete sequence
NZ_CP023829.1 Escherichia coli strain 4/4 plasmid p4_4.3, complete sequence
NZ_CP023830.1 Escherichia coli strain 4/4 plasmid p4_4.4, complete sequence
NZ_CP023831.1 Escherichia coli strain 4/4 plasmid p4_4.5, complete sequence
NZ_CP023832.1 Escherichia coli strain 4/4 plasmid p4_4.6, complete sequence
NZ_CP023833.1 Escherichia coli strain 4/4 plasmid p4_4.7, complete sequence
NZ_CP010206.1 Escherichia coli strain M11, complete genome
NZ_CP010207.1 Escherichia coli strain M11 plasmid A, complete sequence
NZ_CP010208.1 Escherichia coli strain M11 plasmid B, complete sequence
NZ_CP010209.1 Escherichia coli strain M11 plasmid C, complete sequence
NZ_CP010210.1 Escherichia coli strain M11 plasmid D, complete sequence
NZ_CP010211.1 Escherichia coli strain M11 plasmid E, complete sequence
NZ_CP010212.1 Escherichia coli strain M11 plasmid F, complete sequence
NZ_CP030923.1 Klebsiella pneumoniae subsp. pneumoniae strain KC-Pl-HB1 chromosome, complete genome
NZ_CP030924.1 Klebsiella pneumoniae subsp. pneumoniae strain KC-Pl-HB1 plasmid pKC-Pl-HB1, complete sequence
NZ_CP047609.1 Escherichia coli strain NMBU_ W06E18 chromosome, complete genome
NZ_CP047610.1 Escherichia coli strain NMBU_ W06E18 plasmid pNMBU_W06E18_Str1_1, complete sequence
NZ_CP047611.1 Escherichia coli strain NMBU_ W06E18 plasmid pNMBU_W06E18_Str1_2, complete sequence
NZ_CP047612.1 Escherichia coli strain NMBU_ W06E18 plasmid pNMBU_W06E18_Str1_3, complete sequence
NZ_CP047613.1 Escherichia coli strain NMBU_ W06E18 plasmid pNMBU_W06E18_Str1_4, complete sequence
NZ_CP032677.1 Pseudomonas sp. Leaf58 chromosome, complete genome
NZ_CP032678.1 Pseudomonas sp. Leaf58 plasmid pBASL58, complete sequence
NZ_CP038412.1 Escherichia coli O157:H7 strain 493/89 chromosome, complete genome
NZ_CP038413.1 Escherichia coli O157:H7 strain 493/89 plasmid p493-89-1, complete sequence
NZ_CP028794.1 Klebsiella pneumoniae strain WCHKP040035 plasmid p1_040035, complete sequence
NZ_CP028795.1 Klebsiella pneumoniae strain WCHKP040035 plasmid p2_040035, complete sequence
NZ_CP028796.1 Klebsiella pneumoniae strain WCHKP040035 plasmid pKPC2_040035, complete sequence
NZ_CP028797.1 Klebsiella pneumoniae strain WCHKP040035 chromosome, complete genome
NZ_CP030173.1 Klebsiella variicola strain 13450 chromosome, complete genome
NZ_AP017305.1 Fischerella sp. NIES-3754 DNA, complete genome
NZ_AP017306.1 Fischerella sp. NIES-3754 plasmid pFIS3754-01 DNA, complete sequence
NZ_AP017307.1 Fischerella sp. NIES-3754 plasmid pFIS3754-02 DNA, complete sequence
NZ_CP028788.1 Klebsiella pneumoniae strain WCHKP020030 plasmid p1_020030, complete sequence
NZ_CP028789.1 Klebsiella pneumoniae strain WCHKP020030 plasmid p2_020030, complete sequence
NZ_CP028790.1 Klebsiella pneumoniae strain WCHKP020030 plasmid pKPC2_020030, complete sequence
NZ_CP028791.1 Klebsiella pneumoniae strain WCHKP020030 plasmid pOXA1_020030, complete sequence
NZ_CP028792.1 Klebsiella pneumoniae strain WCHKP020030 plasmid pQnrS1_020030, complete sequence
NZ_CP028793.1 Klebsiella pneumoniae strain WCHKP020030 chromosome, complete genome
NZ_CP029715.1 Serratia marcescens strain AR_0131 chromosome, complete genome
NZ_CP025750.1 Xanthomonas campestris pv. campestris strain 3811 chromosome, complete genome
NZ_CP051206.1 Dolichospermum flos-aquae CCAP 1403/13F chromosome, complete genome
NZ_CP051207.1 Dolichospermum flos-aquae CCAP 1403/13F plasmid pAfl69, complete sequence
NZ_CP028617.1 Escherichia coli strain 140 chromosome, complete genome
NZ_CP028618.1 Escherichia coli strain 140 plasmid pTA140-2, complete sequence
NZ_CP028619.1 Escherichia coli strain 140 plasmid pTA140, complete sequence
NZ_CP047698.1 Pseudomonas knackmussii strain N1-2 chromosome, complete genome
NZ_CP049905.1 Diaphorobacter sp. HDW4B chromosome, complete genome
NZ_CP049906.1 Diaphorobacter sp. HDW4B plasmid unnamed1, complete sequence
NZ_CP023641.1 Pseudomonas mendocina strain MAE1-K chromosome, complete genome
NZ_CP026031.1 Bacillus circulans strain PK3_109 chromosome, complete genome
NZ_CP008852.1 Pelosinus sp. UFO1 chromosome, complete genome
NZ_CP053994.1 Bacillus cereus strain FDAARGOS_780 plasmid unnamed1, complete sequence
NZ_CP053995.1 Bacillus cereus strain FDAARGOS_780 plasmid unnamed2, complete sequence
NZ_CP053996.1 Bacillus cereus strain FDAARGOS_780 plasmid unnamed3, complete sequence
NZ_CP053997.1 Bacillus cereus strain FDAARGOS_780 chromosome, complete genome
NZ_CP014762.1 Klebsiella pneumoniae strain KPNIH39, complete genome
NZ_CP014763.1 Klebsiella pneumoniae strain KPNIH39 plasmid pKPN-332, complete sequence
NZ_CP014764.1 Klebsiella pneumoniae strain KPNIH39 plasmid pKPN-704, complete sequence
NZ_CP014765.1 Klebsiella pneumoniae strain KPNIH39 plasmid pKpQIL-9b8, complete sequence
NZ_CP054768.1 Klebsiella pneumoniae strain KP20194b chromosome, complete genome
NZ_CP054769.1 Klebsiella pneumoniae strain KP20194b plasmid pKP20194b-p1, complete sequence
NZ_CP054770.1 Klebsiella pneumoniae strain KP20194b plasmid pKP20194b-p2, complete sequence
NZ_CP054771.1 Klebsiella pneumoniae strain KP20194b plasmid pKP20194b-p3, complete sequence
NZ_CP054772.1 Klebsiella pneumoniae strain KP20194b plasmid pKP20194b-p4, complete sequence
NZ_CP054773.1 Klebsiella pneumoniae strain KP20194b plasmid pKP20194b-p5, complete sequence
NZ_CP041996.1 Escherichia coli strain AR Bank #0349 chromosome, complete genome
NZ_CP041997.1 Escherichia coli strain AR Bank #0349 plasmid pAR349, complete sequence
NZ_CP028680.1 Escherichia coli strain 113 chromosome, complete genome
NZ_CP028681.1 Escherichia coli strain 113 plasmid pTA113-2, complete sequence
NZ_CP028682.1 Escherichia coli strain 113 plasmid pTA113, complete sequence
NZ_CP028779.1 Klebsiella pneumoniae subsp. pneumoniae strain SCKP020046 plasmid p1_020046, complete sequence
NZ_CP028780.1 Klebsiella pneumoniae subsp. pneumoniae strain SCKP020046 plasmid p2_020046, complete sequence
NZ_CP028781.1 Klebsiella pneumoniae subsp. pneumoniae strain SCKP020046 plasmid pNDM5_020046, complete sequence
NZ_CP028782.1 Klebsiella pneumoniae subsp. pneumoniae strain SCKP020046 plasmid pQnrB52_020046, complete sequence
NZ_CP028783.1 Klebsiella pneumoniae subsp. pneumoniae strain SCKP020046 chromosome, complete genome
NZ_CP010518.4 Pandoraea apista strain TF81F4 chromosome, complete genome
NZ_CP039819.1 Klebsiella pneumoniae strain C2414 chromosome, complete genome
NZ_CP039820.1 Klebsiella pneumoniae strain C2414 plasmid pC2414-2-KPC, complete sequence
NZ_CP039821.1 Klebsiella pneumoniae strain C2414 plasmid pC2414-3-NDM, complete sequence
NZ_CP039822.1 Klebsiella pneumoniae strain C2414 plasmid pC2414-4, complete sequence
NZ_CP017444.1 Escherichia coli O157:H7 strain 8368 chromosome, complete genome
NZ_CP017445.1 Escherichia coli O157:H7 strain 8368 plasmid pO157, complete sequence
NZ_CP020889.1 Xanthomonas citri pv. citri strain TX160197 chromosome, complete genome
NZ_CP020890.1 Xanthomonas citri pv. citri strain TX160197 plasmid unnamed1, complete sequence
NZ_CP020891.1 Xanthomonas citri pv. citri strain TX160197 plasmid unnamed2, complete sequence
NZ_CP046257.1 Gordonia sp. 135 chromosome, complete genome
NZ_CP046258.1 Gordonia sp. 135 plasmid pG135, complete sequence
NZ_CP027437.1 Escherichia coli strain 2012C-4221 chromosome, complete genome
NZ_CP027438.1 Escherichia coli strain 2012C-4221 plasmid unnamed1, complete sequence
NZ_CP027439.1 Escherichia coli strain 2012C-4221 plasmid unnamed2, complete sequence
NZ_CP018926.1 Serratia marcescens strain UMH6 chromosome, complete genome
NZ_CP041022.1 Klebsiella pneumoniae strain KP1677 chromosome, complete genome
NZ_CP053930.1 Bacillus cereus strain FDAARGOS_797 plasmid unnamed1, complete sequence
NZ_CP053931.1 Bacillus cereus strain FDAARGOS_797 chromosome, complete genome
NZ_CP053021.1 Sphingobium yanoikuyae strain YC-XJ2 chromosome, complete genome
NZ_CP053022.1 Sphingobium yanoikuyae strain YC-XJ2 plasmid p-A-Sy, complete sequence
NZ_CP053023.1 Sphingobium yanoikuyae strain YC-XJ2 plasmid p-B-Sy, complete sequence
NZ_CP053024.1 Sphingobium yanoikuyae strain YC-XJ2 plasmid p-C-Sy, complete sequence
NZ_CP023487.1 Klebsiella pneumoniae subsp. pneumoniae strain ST101:960186733 chromosome, complete genome
NZ_CP023488.1 Klebsiella pneumoniae subsp. pneumoniae strain ST101:960186733 plasmid p19-10_01, complete sequence
NZ_CP023489.1 Klebsiella pneumoniae subsp. pneumoniae strain ST101:960186733 plasmid p19-10_02, complete sequence
NZ_AP019729.1 Parabacteroides distasonis strain NBRC 113806
NZ_CP021955.1 Klebsiella pneumoniae strain AR_0107 chromosome, complete genome
NZ_CP021956.1 Klebsiella pneumoniae strain AR_0107 plasmid unitig_1_pilon, complete sequence
NZ_CP021957.1 Klebsiella pneumoniae strain AR_0107 plasmid unitig_3j2_linear_pilon, complete sequence
NZ_CP045359.1 Pseudomonas sp. THAF42 chromosome, complete genome
NZ_CP023484.1 Dickeya sp. Secpp 1600 chromosome, complete genome
NZ_CP007607.1 Bacillus thuringiensis serovar kurstaki str. YBT-1520, complete genome
NZ_CP007608.1 Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB2062, complete sequence
NZ_CP007609.1 Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB7921, complete sequence
NZ_CP007610.1 Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB8240, complete sequence
NZ_CP007611.1 Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB8513, complete sequence
NZ_CP007612.1 Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB11, complete sequence
NZ_CP007613.1 Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB69, complete sequence
NZ_CP007614.1 Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB95, complete sequence
NZ_CP007615.1 Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB293, complete sequence
NZ_CP007616.1 Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB400, complete sequence
NZ_CP028638.1 Escherichia coli strain 133 chromosome, complete genome
NZ_CP028639.1 Escherichia coli strain 133 plasmid pTA133-2, complete sequence
NZ_CP028640.1 Escherichia coli strain 133 plasmid pTA133, complete sequence
NZ_CP029690.1 Escherichia coli strain SD134209 plasmid pSD134209-1, complete sequence
NZ_CP029691.1 Escherichia coli strain SD134209 plasmid pSD134209-2, complete sequence
NZ_CP029692.1 Escherichia coli strain SD134209 chromosome, complete genome
NZ_CP029444.1 Serratia marcescens strain CAV1761 plasmid pCAV1761-3223, complete sequence
NZ_CP029445.1 Serratia marcescens strain CAV1761 plasmid pCAV1761-6393, complete sequence
NZ_CP029446.1 Serratia marcescens strain CAV1761 plasmid pKPC_CAV1761, complete sequence
NZ_CP029447.1 Serratia marcescens strain CAV1761 plasmid pCAV1761-73, complete sequence
NZ_CP029448.1 Serratia marcescens strain CAV1761 plasmid pCAV1761-205, complete sequence
NZ_CP029449.1 Serratia marcescens strain CAV1761 chromosome, complete genome
NZ_CP053315.1 Bacillus circulans strain GN03 chromosome, complete genome
NZ_CP053316.1 Bacillus circulans strain GN03 plasmid unnamed, complete sequence
NZ_CP028784.1 Klebsiella pneumoniae subsp. pneumoniae strain SCKP020049 plasmid p1_020049, complete sequence
NZ_CP028785.1 Klebsiella pneumoniae subsp. pneumoniae strain SCKP020049 plasmid p2_020049, complete sequence
NZ_CP028786.1 Klebsiella pneumoniae subsp. pneumoniae strain SCKP020049 plasmid pNDM1_020049, complete sequence
NZ_CP028787.1 Klebsiella pneumoniae subsp. pneumoniae strain SCKP020049 chromosome, complete genome
NZ_CP034136.1 Klebsiella quasipneumoniae subsp. similipneumoniae strain G747 chromosome, complete genome
NZ_CP034137.1 Klebsiella quasipneumoniae subsp. similipneumoniae strain G747 plasmid pG747_150.8Kb, complete sequence
NZ_CP034138.1 Klebsiella quasipneumoniae subsp. similipneumoniae strain G747 plasmid pG747_218.9Kb, complete sequence
NZ_CP034139.1 Klebsiella quasipneumoniae subsp. similipneumoniae strain G747 plasmid pG747_6.9Kb, complete sequence
NZ_CP034140.1 Klebsiella quasipneumoniae subsp. similipneumoniae strain G747 plasmid pG747_84.1Kb, complete sequence
NZ_CP034339.1 Klebsiella quasipneumoniae subsp. similipneumoniae strain G747 plasmid pG747_3.7Kb, complete sequence
NZ_CP028478.1 Klebsiella pneumoniae strain 2e chromosome, complete genome
NZ_CP028479.1 Klebsiella pneumoniae strain 2e plasmid unnamed1, complete sequence
NZ_CP028480.1 Klebsiella pneumoniae strain 2e plasmid unnamed2
NZ_CP010240.1 Escherichia coli strain C7, complete genome
NZ_CP010241.1 Escherichia coli strain C7 plasmid A, complete sequence
NZ_CP036263.1 Planctomycetes bacterium HG15A2 chromosome, complete genome
NZ_CP018758.1 Pseudomonas psychrotolerans strain PRS08-11306 chromosome, complete genome
NZ_CP018759.1 Pseudomonas psychrotolerans strain PRS08-11306 plasmid pPRS08-11306, complete sequence
NZ_CP031613.1 Klebsiella pneumoniae strain ZYST1 chromosome, complete genome
NZ_CP031614.1 Klebsiella pneumoniae strain ZYST1 plasmid pZYST1C1, complete sequence
NZ_CP031615.1 Klebsiella pneumoniae strain ZYST1 plasmid pZYST1C2, complete sequence
NZ_CP031616.1 Klebsiella pneumoniae strain ZYST1 plasmid pZYST1C3, complete sequence
NZ_CP050360.1 Klebsiella pneumoniae strain 47733 chromosome, complete genome
NZ_CP050361.1 Klebsiella pneumoniae strain 47733 plasmid p47733_ARR2, complete sequence
NZ_CP050362.1 Klebsiella pneumoniae strain 47733 plasmid p47733_COLBS512, complete sequence
NZ_CP050363.1 Klebsiella pneumoniae strain 47733 plasmid p47733_COLMG828, complete sequence
NZ_CP050364.1 Klebsiella pneumoniae strain 47733 plasmid p47733_CTX_M_15, complete sequence
NZ_CP050365.1 Klebsiella pneumoniae strain 47733 plasmid p47733_IncFIB, complete sequence
NZ_CP050366.1 Klebsiella pneumoniae strain 47733 plasmid p47733L, complete sequence
NZ_CP050367.1 Klebsiella pneumoniae strain 47733 plasmid p47733_NDM_5, complete sequence
NZ_CP050368.1 Klebsiella pneumoniae strain 47733 plasmid p47733_OXA_181, complete sequence
NZ_CP050369.1 Klebsiella pneumoniae strain 47733 plasmid p47733S, complete sequence
NZ_CP050370.1 Klebsiella pneumoniae strain 47733 plasmid p47733_COL_PVC, complete sequence
NZ_CP050371.1 Klebsiella pneumoniae strain 50595 chromosome, complete genome
NZ_CP050372.1 Klebsiella pneumoniae strain 50595 plasmid p50595_ERM, complete sequence
NZ_CP050373.1 Klebsiella pneumoniae strain 50595 plasmid p50595_IncFII, complete sequence
